locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment
0,南美洲,South America,委内瑞拉,Venezuela,委内瑞拉,Venezuela,委内瑞拉,132,135,0,0,3,
973008,南美洲,South America,秘鲁,Peru,秘鲁,Peru,秘鲁,641,1065,0,394,30,
973011,南美洲,South America,乌拉圭,Uruguay,乌拉圭,Uruguay,乌拉圭,296,338,0,41,1,
973001,南美洲,South America,阿根廷,Argentina,阿根廷,Argentina,阿根廷,861,1133,0,240,32,
973002,南美洲,South America,玻利维亚,Bolivia,玻利维亚,Bolivia,玻利维亚,101,107,0,0,6,
973005,南美洲,South America,哥伦比亚,Colombia,哥伦比亚,Colombia,哥伦比亚,859,906,0,31,16,
973004,南美洲,South America,智利,Chile,智利,Chile,智利,2781,3031,0,234,16,
973009,南美洲,South America,巴拉圭,Paraguay,巴拉圭,Paraguay,巴拉圭,61,65,0,1,3,
973006,南美洲,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,厄瓜多尔,2655,2748,0,0,93,
973010,南美洲,South America,苏里南,Suriname,苏里南,Suriname,苏里南,9,9,0,0,0,
0,南美洲,South America,法属圭亚那,French Guiana,法属圭亚那,French Guiana,法属圭亚那,46,46,0,0,0,
973007,南美洲,South America,圭亚那,Guyana,圭亚那,Guyana,圭亚那,10,12,0,0,2,
973003,南美洲,South America,巴西,Brazil,巴西,Brazil,巴西,6595,6836,0,0,241,
